WSS1 WSS2 WSSadd WSSdrop split throughput time totalTraffic trafficSuccessNum
4.0 4.0 4.0 3.0 1.0 300.0 220 22.0 21.0
4.0 4.0 4.0 3.0 1.0 300.0 221 22.0 21.0
4.0 4.0 4.0 3.0 1.0 300.0 222 22.0 21.0
4.0 4.0 4.0 3.0 1.0 332.0 223 23.0 22.0
4.0 4.0 4.0 3.0 1.0 336.0 224 24.0 23.0
4.0 4.0 4.0 3.0 1.0 336.0 225 24.0 23.0
4.0 4.0 4.0 3.0 1.0 336.0 226 24.0 23.0
4.0 4.0 4.0 3.0 1.0 336.0 227 24.0 23.0
4.0 4.0 4.0 3.0 1.0 336.0 228 24.0 23.0
4.0 4.0 4.0 3.0 1.0 336.0 229 24.0 23.0
4.0 4.0 4.0 3.0 1.0 336.0 230 24.0 23.0
4.0 4.0 4.0 3.0 1.0 336.0 231 24.0 23.0
4.0 4.0 4.0 3.0 1.0 368.0 232 25.0 24.0
4.0 4.0 4.0 3.0 1.0 368.0 233 25.0 24.0
4.0 4.0 4.0 3.0 1.0 368.0 234 25.0 24.0
4.0 4.0 4.0 3.0 1.0 400.0 235 26.0 25.0
4.0 4.0 4.0 3.0 1.0 400.0 236 26.0 25.0
4.0 4.0 4.0 3.0 1.0 400.0 237 26.0 25.0
4.0 4.0 4.0 3.0 1.0 408.0 238 27.0 26.0
4.0 4.0 4.0 3.0 1.0 408.0 239 27.0 26.0
4.0 4.0 4.0 3.0 1.0 408.0 240 27.0 26.0
4.0 4.0 4.0 3.0 1.0 408.0 241 27.0 26.0
4.0 4.0 4.0 3.0 1.0 408.0 242 27.0 26.0
4.0 4.0 4.0 3.0 1.0 408.0 243 27.0 26.0
4.0 4.0 4.0 3.0 1.0 408.0 244 27.0 26.0
4.0 4.0 4.0 3.0 1.0 408.0 245 27.0 26.0
4.0 4.0 4.0 3.0 1.0 408.0 246 27.0 26.0
4.0 4.0 4.0 3.0 1.0 411.0 247 28.0 27.0
4.0 4.0 4.0 3.0 1.0 411.0 248 28.0 27.0
4.0 4.0 4.0 3.0 1.0 411.0 249 28.0 27.0
4.0 4.0 4.0 3.0 1.0 419.0 250 29.0 28.0
4.0 4.0 4.0 3.0 1.0 419.0 251 29.0 28.0
4.0 4.0 4.0 3.0 1.0 419.0 252 29.0 28.0
4.0 4.0 4.0 3.0 1.0 419.0 253 29.0 28.0
4.0 4.0 4.0 3.0 1.0 427.0 254 30.0 29.0
4.0 4.0 4.0 3.0 1.0 427.0 255 30.0 29.0
4.0 4.0 4.0 3.0 1.0 427.0 256 30.0 29.0
4.0 4.0 4.0 3.0 1.0 427.0 257 30.0 29.0
4.0 4.0 4.0 3.0 1.0 427.0 258 30.0 29.0
4.0 4.0 4.0 3.0 1.0 427.0 259 30.0 29.0
4.0 4.0 4.0 3.0 1.0 430.0 260 31.0 30.0
4.0 4.0 4.0 3.0 1.0 430.0 261 31.0 30.0
4.0 4.0 4.0 3.0 1.0 430.0 262 31.0 30.0
4.0 4.0 4.0 3.0 1.0 430.0 263 31.0 30.0
4.0 4.0 4.0 3.0 1.0 430.0 264 31.0 30.0
4.0 4.0 4.0 3.0 1.0 462.0 265 32.0 31.0
4.0 4.0 4.0 3.0 1.0 494.0 266 33.0 32.0
4.0 4.0 4.0 3.0 1.0 494.0 267 33.0 32.0
4.0 4.0 4.0 3.0 1.0 494.0 268 33.0 32.0
4.0 4.0 4.0 3.0 1.0 494.0 269 33.0 32.0
4.0 4.0 4.0 3.0 1.0 494.0 270 33.0 32.0
4.0 4.0 4.0 3.0 1.0 497.0 271 34.0 33.0
4.0 4.0 4.0 3.0 1.0 497.0 272 34.0 33.0
4.0 4.0 4.0 3.0 1.0 497.0 273 34.0 33.0
4.0 4.0 4.0 3.0 1.0 501.0 274 35.0 34.0
5.0 4.0 4.0 4.0 1.0 505.0 275 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 276 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 277 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 278 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 279 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 280 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 281 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 282 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 283 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 284 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 285 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 286 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 287 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 288 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 289 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 290 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 291 36.0 35.0
5.0 4.0 4.0 4.0 1.0 505.0 292 36.0 35.0
5.0 4.0 4.0 4.0 1.0 513.0 293 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 294 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 295 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 296 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 297 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 298 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 299 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 300 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 301 37.0 36.0
5.0 4.0 4.0 4.0 1.0 513.0 302 37.0 36.0
