index outport cost SuccessFlag
776 15.0 4.0 1.0
777 -1.0 0.0 -1.0
778 23.0 4.0 1.0
779 10.0 3.0 1.0
780 16.0 4.0 1.0
781 0.0 2.0 1.0
782 -1.0 0.0 -1.0
783 0.0 2.0 1.0
784 -1.0 0.0 -1.0
785 15.0 4.0 1.0
786 11.0 4.0 1.0
787 -1.0 0.0 -1.0
788 -1.0 0.0 -1.0
789 -1.0 0.0 -1.0
790 0.0 2.0 1.0
791 -1.0 0.0 -1.0
792 -1.0 0.0 -1.0
793 0.0 2.0 1.0
794 -1.0 0.0 -1.0
795 -1.0 0.0 -1.0
796 -1.0 0.0 -1.0
797 -1.0 0.0 -1.0
798 18.0 3.0 1.0
799 -1.0 0.0 -1.0
800 17.0 2.0 1.0
801 0.0 2.0 1.0
802 24.0 4.0 1.0
803 0.0 2.0 1.0
804 15.0 4.0 1.0
805 -1.0 0.0 -1.0
806 -1.0 0.0 -1.0
807 22.0 4.0 1.0
808 -1.0 0.0 -1.0
809 -1.0 0.0 -1.0
810 22.0 2.0 1.0
811 -1.0 0.0 -1.0
812 17.0 4.0 1.0
813 22.0 4.0 1.0
814 18.0 4.0 1.0
815 10.0 3.0 1.0
816 -1.0 0.0 -1.0
817 15.0 4.0 1.0
818 -1.0 0.0 -1.0
819 10.0 3.0 1.0
820 -1.0 0.0 -1.0
821 23.0 3.0 1.0
822 27.0 4.0 1.0
823 -1.0 0.0 -1.0
824 8.0 2.0 1.0
825 23.0 4.0 1.0
826 -1.0 0.0 -1.0
827 22.0 4.0 1.0
828 9.0 1.0 1.0
829 0.0 2.0 1.0
830 10.0 3.0 1.0
831 -1.0 0.0 -1.0
832 8.0 2.0 1.0
833 -1.0 0.0 -1.0
834 10.0 3.0 1.0
835 -1.0 0.0 -1.0
836 22.0 4.0 1.0
837 -1.0 0.0 -1.0
838 23.0 3.0 1.0
839 -1.0 0.0 -1.0
840 -1.0 0.0 -1.0
841 -1.0 0.0 -1.0
842 8.0 2.0 1.0
843 8.0 2.0 1.0
844 17.0 4.0 1.0
845 23.0 2.0 1.0
846 8.0 4.0 1.0
847 0.0 2.0 1.0
848 16.0 4.0 1.0
849 -1.0 0.0 -1.0
850 15.0 2.0 1.0
851 -1.0 0.0 -1.0
852 26.0 2.0 1.0
853 -1.0 0.0 -1.0
854 -1.0 0.0 -1.0
855 -1.0 0.0 -1.0
856 -1.0 0.0 -1.0
857 0.0 2.0 1.0
858 23.0 3.0 1.0
859 0.0 2.0 1.0
860 18.0 2.0 1.0
861 18.0 2.0 1.0
862 -1.0 0.0 -1.0
863 -1.0 0.0 -1.0
864 9.0 1.0 1.0
865 12.0 4.0 1.0
866 -1.0 0.0 -1.0
867 8.0 2.0 1.0
868 -1.0 0.0 -1.0
869 24.0 4.0 1.0
870 0.0 2.0 1.0
871 0.0 2.0 1.0
872 -1.0 0.0 -1.0
873 10.0 3.0 1.0
874 23.0 2.0 1.0
875 10.0 3.0 1.0
876 0.0 2.0 1.0
877 -1.0 0.0 -1.0
878 0.0 2.0 1.0
879 0.0 2.0 1.0
880 -1.0 0.0 -1.0
881 25.0 2.0 1.0
882 -1.0 0.0 -1.0
883 -1.0 0.0 -1.0
884 22.0 4.0 1.0
885 -1.0 0.0 -1.0
886 25.0 2.0 1.0
887 16.0 4.0 1.0
888 18.0 2.0 1.0
889 -1.0 0.0 -1.0
890 -1.0 0.0 -1.0
891 -1.0 0.0 -1.0
892 10.0 3.0 1.0
893 -1.0 0.0 -1.0
894 -1.0 0.0 -1.0
895 -1.0 0.0 -1.0
896 -1.0 0.0 -1.0
897 10.0 3.0 1.0
898 0.0 2.0 1.0
899 10.0 3.0 1.0
900 -1.0 0.0 -1.0
901 23.0 2.0 1.0
902 0.0 2.0 1.0
903 11.0 4.0 1.0
904 -1.0 0.0 -1.0
905 -1.0 0.0 -1.0
906 22.0 2.0 1.0
907 10.0 4.0 1.0
908 -1.0 0.0 -1.0
909 -1.0 0.0 -1.0
910 26.0 2.0 1.0
911 -1.0 0.0 -1.0
912 0.0 2.0 1.0
913 -1.0 0.0 -1.0
914 16.0 4.0 1.0
915 -1.0 0.0 -1.0
916 10.0 3.0 1.0
917 18.0 2.0 1.0
918 -1.0 0.0 -1.0
919 15.0 4.0 1.0
920 -1.0 0.0 -1.0
921 15.0 2.0 1.0
922 10.0 3.0 1.0
923 23.0 4.0 1.0
924 25.0 4.0 1.0
925 27.0 4.0 1.0
926 -1.0 0.0 -1.0
927 -1.0 0.0 -1.0
928 -1.0 0.0 -1.0
929 -1.0 0.0 -1.0
930 23.0 4.0 1.0
931 10.0 2.0 1.0
932 0.0 2.0 1.0
933 0.0 2.0 1.0
934 9.0 1.0 1.0
935 10.0 2.0 1.0
936 17.0 4.0 1.0
937 -1.0 0.0 -1.0
938 -1.0 0.0 -1.0
939 0.0 2.0 1.0
940 -1.0 0.0 -1.0
941 16.0 4.0 1.0
942 10.0 3.0 1.0
943 11.0 4.0 1.0
944 8.0 4.0 1.0
945 23.0 3.0 1.0
946 -1.0 0.0 -1.0
947 -1.0 0.0 -1.0
948 9.0 1.0 1.0
949 22.0 4.0 1.0
