SuccessFlag cost index outport
0.0 0.0 444 -1.0
0.0 0.0 445 -1.0
0.0 0.0 446 -1.0
1.0 2.0 447 0.0
1.0 2.0 448 0.0
1.0 2.0 449 0.0
1.0 2.0 450 16.0
0.0 0.0 451 -1.0
0.0 0.0 452 -1.0
1.0 2.0 453 0.0
1.0 2.0 454 0.0
0.0 0.0 455 -1.0
0.0 0.0 456 -1.0
0.0 0.0 457 -1.0
1.0 3.0 458 24.0
0.0 0.0 459 -1.0
0.0 0.0 460 -1.0
1.0 2.0 461 18.0
0.0 0.0 462 -1.0
0.0 0.0 463 -1.0
1.0 2.0 464 9.0
1.0 3.0 465 26.0
0.0 0.0 466 -1.0
1.0 2.0 467 0.0
1.0 2.0 468 0.0
1.0 2.0 469 0.0
1.0 2.0 470 0.0
1.0 3.0 471 26.0
1.0 3.0 472 16.0
0.0 0.0 473 -1.0
1.0 3.0 474 11.0
0.0 0.0 475 -1.0
1.0 2.0 476 10.0
0.0 0.0 477 -1.0
0.0 0.0 478 -1.0
0.0 0.0 479 -1.0
1.0 3.0 480 16.0
1.0 2.0 481 12.0
0.0 0.0 482 -1.0
1.0 3.0 483 22.0
0.0 0.0 484 -1.0
0.0 0.0 485 -1.0
0.0 0.0 486 -1.0
1.0 3.0 487 13.0
0.0 0.0 488 -1.0
1.0 2.0 489 0.0
0.0 0.0 490 -1.0
1.0 3.0 491 26.0
1.0 3.0 492 13.0
0.0 0.0 493 -1.0
1.0 2.0 494 0.0
1.0 3.0 495 21.0
0.0 0.0 496 -1.0
0.0 0.0 497 -1.0
0.0 0.0 498 -1.0
0.0 0.0 499 -1.0
0.0 0.0 500 -1.0
1.0 2.0 501 9.0
1.0 2.0 502 0.0
0.0 0.0 503 -1.0
0.0 0.0 504 -1.0
0.0 0.0 505 -1.0
0.0 0.0 506 -1.0
1.0 2.0 507 27.0
1.0 2.0 508 24.0
0.0 0.0 509 -1.0
1.0 3.0 510 13.0
0.0 0.0 511 -1.0
0.0 0.0 512 -1.0
1.0 3.0 513 24.0
0.0 0.0 514 -1.0
0.0 0.0 515 -1.0
1.0 2.0 516 0.0
0.0 0.0 517 -1.0
1.0 2.0 518 0.0
0.0 0.0 519 -1.0
0.0 0.0 520 -1.0
0.0 0.0 521 -1.0
1.0 3.0 522 16.0
1.0 3.0 523 26.0
0.0 0.0 524 -1.0
1.0 2.0 525 19.0
1.0 2.0 526 0.0
0.0 0.0 527 -1.0
0.0 0.0 528 -1.0
0.0 0.0 529 -1.0
0.0 0.0 530 -1.0
1.0 3.0 531 16.0
0.0 0.0 532 -1.0
0.0 0.0 533 -1.0
1.0 2.0 534 0.0
1.0 3.0 535 11.0
0.0 0.0 536 -1.0
0.0 0.0 537 -1.0
0.0 0.0 538 -1.0
0.0 0.0 539 -1.0
0.0 0.0 540 -1.0
0.0 0.0 541 -1.0
0.0 0.0 542 -1.0
0.0 0.0 543 -1.0
0.0 0.0 544 -1.0
0.0 0.0 545 -1.0
0.0 0.0 546 -1.0
1.0 2.0 547 0.0
1.0 2.0 548 0.0
0.0 0.0 549 -1.0
1.0 2.0 550 0.0
1.0 2.0 551 17.0
1.0 2.0 552 0.0
1.0 2.0 553 25.0
0.0 0.0 554 -1.0
0.0 0.0 555 -1.0
0.0 0.0 556 -1.0
1.0 3.0 557 13.0
0.0 0.0 558 -1.0
0.0 0.0 559 -1.0
0.0 0.0 560 -1.0
0.0 0.0 561 -1.0
0.0 0.0 562 -1.0
1.0 3.0 563 21.0
1.0 3.0 564 21.0
0.0 0.0 565 -1.0
0.0 0.0 566 -1.0
1.0 2.0 567 13.0
0.0 0.0 568 -1.0
1.0 2.0 569 17.0
